Nombre,Frecuencia,Edad Media (*),Gender,Is_Compound,Percentage,Popularity,Character_Count,Syllable_Count
RICHARD,3161,39.4,Male,False,0.0198003949806092,401,7,2
HIPOLITO,3158,66.1,Male,False,0.0197816030840759,402,8,4
BONIFACIO,3152,67.9,Male,False,0.0197440192910093,403,9,4
ROSENDO,3145,62.1,Male,False,0.0197001715324315,404,7,3
MIHAI,3143,43.4,Male,False,0.0196876436014093,405,5,2
ACHRAF,3140,19.1,Male,False,0.019668851704876,406,6,2
XAVI,3120,9.9,Male,False,0.0195435723946538,407,4,2
MARK,3111,21.8,Male,False,0.0194871967050539,408,4,1
VICTORINO,3103,69.4,Male,False,0.019437084980965,409,9,4
AUGUSTO,3098,56.3,Male,False,0.0194057651534095,410,7,3
ARKAITZ,3090,32.3,Male,False,0.0193556534293206,411,7,2
VIRGILIO,3089,64.4,Male,False,0.0193493894638095,412,8,3
MOURAD,3084,35.1,Male,False,0.019318069636254,413,6,2
KAMAL,3079,34.1,Male,False,0.0192867498086984,414,5,2
